Código,Título,Grupo de alimentos,Energía <ENERC> - kcal,Energía <ENERC> - KJ,Agua <WATER>,Proteínas <PROCNT>,Grasa total <FAT>,Carbohidratos totales <CHOCDF>,Carbohidratos disponibles <CHOAVL>,Fibra dietaria <FIBTG>,Cenizas <ASH>,Calcio <CA>,Fósforo <P>,Zinc <ZN>,Hierro <FE>,Sodio <NA>,Potasio <K>,β caroteno equivalentes totales <CARTBQ>,Vitamina A equivalentes totales <VITA>,Tiamina <THIA>,Riboflavina <RIBF>,Niacina <NIA>,Vitamina C <VITC>,Ácido fólico,Acción
A101,"Llipta sara, variedad de maíz",CEREALES Y DERIVADOS,370kcal,1550KJ,11.30g,7.40g,4.20g,75.90g,-1.00g,-1.00g,1.40g,5mg,244mg,-1.00mg,1.40mg,-1mg,-1mg,-1μg,-1μg,0.31mg,0.12mg,-1.00mg,0.85mg,-1μg,
A102,"Maíz blanco, harina",CEREALES Y DERIVADOS,343kcal,1435KJ,11.60g,5.50g,5.00g,76.60g,71.00g,5.60g,1.30g,19mg,272mg,1.73mg,2.35mg,2mg,6mg,-1μg,11μg,0.25mg,0.08mg,1.90mg,0.00mg,0μg,
A103,"Maíz blanco precocido, harina de (chochoca)",CEREALES Y DERIVADOS,328kcal,1371KJ,12.10g,6.80g,5.20g,74.80g,65.90g,8.90g,1.20g,-1mg,-1mg,1.76mg,2.08mg,-1mg,-1mg,-1μg,-1μg,-1.00mg,-1.00mg,-1.00mg,-1.00mg,-1μg,
A104,"Maíz morado, harina de (api)",CEREALES Y DERIVADOS,318kcal,1331KJ,11.40g,8.50g,4.20g,74.30g,64.50g,9.80g,1.70g,29mg,300mg,2.60mg,6.47mg,16mg,63mg,-1μg,-1μg,-1.00mg,-1.00mg,-1.00mg,-1.00mg,-1μg,
A105,Pan árabe,CEREALES Y DERIVADOS,290kcal,1213KJ,27.80g,10.30g,3.50g,56.70g,54.30g,2.40g,1.70g,-1mg,-1mg,-1.00mg,6.98mg,-1mg,-1mg,-1μg,-1μg,-1.00mg,0.32mg,6.47mg,-1.00mg,106μg,
A106,Pan cachanga,CEREALES Y DERIVADOS,445kcal,1862KJ,17.40g,7.70g,26.10g,47.40g,-1.00g,-1.00g,1.40g,-1mg,-1mg,-1.00mg,3.99mg,-1mg,-1mg,-1μg,-1μg,-1.00mg,0.27mg,-1.00mg,-1.00mg,-1μg,
A107,Pan campesino de Lima,CEREALES Y DERIVADOS,276kcal,1153KJ,36.10g,10.00g,5.70g,46.00g,-1.00g,-1.00g,2.20g,-1mg,-1mg,-1.00mg,3.53mg,-1mg,-1mg,-1μg,-1μg,0.48mg,0.21mg,2.46mg,-1.00mg,142μg,
A108,Pan ciabatta,CEREALES Y DERIVADOS,265kcal,1108KJ,32.10g,9.20g,2.00g,55.00g,52.60g,2.50g,1.70g,-1mg,-1mg,-1.00mg,5.59mg,-1mg,-1mg,-1μg,-1μg,-1.00mg,0.71mg,4.94mg,-1.00mg,122μg,
A109,Pan chapla,CEREALES Y DERIVADOS,321kcal,1343KJ,22.20g,9.30g,3.50g,63.20g,-1.00g,-1.00g,1.90g,-1mg,-1mg,-1.00mg,4.67mg,-1mg,-1mg,-1μg,-1μg,-1.00mg,0.37mg,-1.00mg,-1.00mg,-1μg,
A110,Pan chuta,CEREALES Y DERIVADOS,387kcal,1620KJ,16.30g,9.50g,11.10g,62.30g,-1.00g,-1.00g,0.80g,-1mg,-1mg,-1.00mg,4.71mg,-1mg,-1mg,-1μg,-1μg,-1.00mg,0.39mg,-1.00mg,-1.00mg,-1μg,
A111,Pan cortadillo de Cajamarca,CEREALES Y DERIVADOS,361kcal,1509KJ,17.80g,6.90g,7.10g,67.20g,-1.00g,-1.00g,1.00g,-1mg,-1mg,-1.00mg,4.37mg,-1mg,-1mg,-1μg,-1μg,0.63mg,0.29mg,5.49mg,-1.00mg,65μg,
A112,Pan cuay de trigo de Carhuaz,CEREALES Y DERIVADOS,358kcal,1500KJ,23.80g,10.00g,11.60g,53.40g,-1.00g,-1.00g,1.20g,-1mg,-1mg,-1.00mg,5.62mg,-1mg,-1mg,-1μg,-1μg,-1.00mg,-1.00mg,-1.00mg,-1.00mg,-1μg,
A113,Pan cuay de trigo de Huaraz,CEREALES Y DERIVADOS,297kcal,1241KJ,31.60g,7.60g,10.10g,48.90g,43.80g,5.10g,1.80g,-1mg,-1mg,-1.00mg,4.45mg,-1mg,-1mg,-1μg,-1μg,0.33mg,0.34mg,3.01mg,-1.00mg,-1μg,
A114,Pan de calabaza de Huancavelica,CEREALES Y DERIVADOS,274kcal,1148KJ,35.30g,11.50g,3.90g,48.40g,-1.00g,-1.00g,0.90g,-1mg,-1mg,-1.00mg,4.79mg,-1mg,-1mg,-1μg,-1μg,0.61mg,0.25mg,3.35mg,-1.00mg,322μg,
A115,Pan de chicharrón de Chiclayo,CEREALES Y DERIVADOS,338kcal,1414KJ,25.50g,9.90g,9.00g,54.30g,-1.00g,-1.00g,1.20g,-1mg,-1mg,-1.00mg,7.61mg,-1mg,-1mg,-1μg,-1μg,0.84mg,0.20mg,4.63mg,-1.00mg,288μg,
A116,Pan de girasol de Lima,CEREALES Y DERIVADOS,267kcal,1115KJ,40.90g,10.70g,7.70g,38.70g,-1.00g,-1.00g,2.10g,-1mg,-1mg,-1.00mg,3.02mg,-1mg,-1mg,-1μg,-1μg,0.45mg,0.18mg,2.14mg,-1.00mg,139μg,
A117,Pan de hamburguesa de Iquitos,CEREALES Y DERIVADOS,316kcal,1323KJ,24.40g,10.80g,4.70g,57.70g,-1.00g,-1.00g,2.40g,-1mg,-1mg,-1.00mg,6.15mg,-1mg,-1mg,-1μg,-1μg,0.88mg,0.46mg,4.71mg,-1.00mg,191μg,
A118,Pan de huevo,CEREALES Y DERIVADOS,336kcal,1408KJ,23.20g,9.30g,6.90g,59.40g,-1.00g,-1.00g,1.30g,-1mg,-1mg,-1.00mg,5.79mg,-1mg,-1mg,-1μg,-1μg,-1.00mg,0.35mg,-1.00mg,-1.00mg,-1μg,
A119,Pan de maíz,CEREALES Y DERIVADOS,319kcal,1336KJ,25.40g,7.70g,8.70g,56.70g,52.60g,4.10g,1.60g,-1mg,-1mg,-1.00mg,3.49mg,-1mg,-1mg,-1μg,-1μg,-1.00mg,0.24mg,3.81mg,-1.00mg,103μg,
A120,Pan de maíz de Carhuaz,CEREALES Y DERIVADOS,323kcal,1352KJ,27.90g,9.20g,8.00g,53.50g,-1.00g,-1.00g,1.40g,-1mg,-1mg,-1.00mg,5.15mg,-1mg,-1mg,-1μg,-1μg,-1.00mg,-1.00mg,-1.00mg,-1.00mg,-1μg,
A121,Pan de maíz de Huaraz,CEREALES Y DERIVADOS,359kcal,1501KJ,22.00g,8.00g,15.20g,53.00g,47.50g,5.50g,1.90g,-1mg,-1mg,-1.00mg,3.50mg,-1mg,-1mg,-1μg,-1μg,0.25mg,0.29mg,2.96mg,-1.00mg,-1μg,
A122,Pan de quinua de Lima,CEREALES Y DERIVADOS,241kcal,1009KJ,39.80g,9.50g,1.70g,47.00g,-1.00g,-1.00g,2.10g,-1mg,-1mg,-1.00mg,3.31mg,-1mg,-1mg,-1μg,-1μg,0.48mg,0.21mg,2.54mg,-1.00mg,115μg,
A123,Pan de trigo artesanal de Carhuaz,CEREALES Y DERIVADOS,286kcal,1197KJ,32.50g,8.80g,4.60g,52.40g,-1.00g,-1.00g,1.70g,-1mg,-1mg,-1.00mg,5.11mg,-1mg,-1mg,-1μg,-1μg,-1.00mg,-1.00mg,-1.00mg,-1.00mg,-1μg,
A124,Pan de yema,CEREALES Y DERIVADOS,321kcal,1342KJ,25.60g,9.40g,8.10g,55.40g,52.50g,2.90g,1.50g,-1mg,-1mg,-1.00mg,4.47mg,-1mg,-1mg,-1μg,-1μg,-1.00mg,0.29mg,4.01mg,-1.00mg,70μg,
A125,Pan de yema de Cajamarca,CEREALES Y DERIVADOS,365kcal,1526KJ,23.70g,9.20g,12.90g,52.90g,-1.00g,-1.00g,1.30g,-1mg,-1mg,-1.00mg,6.74mg,-1mg,-1mg,-1μg,-1μg,1.37mg,0.50mg,4.82mg,-1.00mg,30μg,
A126,Pan dulce de Lima,CEREALES Y DERIVADOS,290kcal,1215KJ,32.60g,11.90g,5.00g,49.50g,-1.00g,-1.00g,1.10g,-1mg,-1mg,-1.00mg,3.30mg,-1mg,-1mg,-1μg,-1μg,0.56mg,0.42mg,2.82mg,-1.00mg,133μg,
A127,Pan huaro,CEREALES Y DERIVADOS,338kcal,1413KJ,21.10g,9.90g,5.50g,62.20g,-1.00g,-1.00g,1.30g,-1mg,-1mg,-1.00mg,5.40mg,-1mg,-1mg,-1μg,-1μg,-1.00mg,0.39mg,-1.00mg,-1.00mg,-1μg,
A128,Pan Huascarán de Lima,CEREALES Y DERIVADOS,265kcal,1111KJ,37.30g,9.40g,4.80g,46.30g,-1.00g,-1.00g,2.30g,-1mg,-1mg,-1.00mg,4.79mg,-1mg,-1mg,-1μg,-1μg,0.60mg,0.17mg,1.67mg,-1.00mg,111μg,
A129,Pan integral,CEREALES Y DERIVADOS,339kcal,1419KJ,24.30g,9.10g,9.00g,55.50g,-1.00g,-1.00g,2.20g,-1mg,-1mg,-1.00mg,5.16mg,-1mg,-1mg,-1μg,-1μg,-1.00mg,0.40mg,-1.00mg,-1.00mg,-1μg,
A130,Pan marraqueta de Chiclayo,CEREALES Y DERIVADOS,321kcal,1342KJ,21.00g,6.40g,2.20g,68.90g,-1.00g,-1.00g,1.50g,-1mg,-1mg,-1.00mg,6.00mg,-1mg,-1mg,-1μg,-1μg,0.92mg,0.24mg,5.26mg,-1.00mg,219μg,
A131,Pan mestizo de Huánuco,CEREALES Y DERIVADOS,399kcal,1668KJ,18.10g,9.60g,15.70g,54.80g,-1.00g,-1.00g,1.90g,-1mg,-1mg,-1.00mg,4.24mg,-1mg,-1mg,-1μg,-1μg,0.23mg,0.28mg,3.83mg,-1.00mg,183μg,
A132,Pan mishtishongo de Huánuco,CEREALES Y DERIVADOS,410kcal,1715KJ,20.70g,9.10g,20.00g,48.50g,-1.00g,-1.00g,1.80g,-1mg,-1mg,-1.00mg,2.91mg,-1mg,-1mg,-1μg,-1μg,1.06mg,0.29mg,3.05mg,-1.00mg,191μg,
A133,Pan mollete de Chiclayo,CEREALES Y DERIVADOS,284kcal,1189KJ,32.50g,10.20g,3.80g,52.30g,-1.00g,-1.00g,1.30g,-1mg,-1mg,-1.00mg,5.62mg,-1mg,-1mg,-1μg,-1μg,0.88mg,0.22mg,3.70mg,-1.00mg,244μg,
A134,"Pan mollete, ""chico""de Huaraz",CEREALES Y DERIVADOS,364kcal,1523KJ,25.50g,9.60g,16.30g,47.00g,44.70g,2.30g,1.60g,-1mg,-1mg,-1.00mg,4.81mg,-1mg,-1mg,-1μg,-1μg,0.41mg,0.34mg,4.09mg,-1.00mg,-1μg,
A135,Pan torta de Cajamarca,CEREALES Y DERIVADOS,355kcal,1487KJ,19.40g,9.40g,8.00g,61.50g,-1.00g,-1.00g,1.70g,-1mg,-1mg,-1.00mg,6.31mg,-1mg,-1mg,-1μg,-1μg,1.44mg,0.45mg,6.26mg,-1.00mg,159μg,
A136,"Pan 3 granos (quinua, cañihua y kiwicha) de Lima",CEREALES Y DERIVADOS,219kcal,914KJ,46.50g,8.60g,2.50g,40.50g,-1.00g,-1.00g,2.00g,-1mg,-1mg,-1.00mg,3.72mg,-1mg,-1mg,-1μg,-1μg,0.47mg,0.20mg,3.56mg,-1.00mg,197μg,
A137,Pan vico,CEREALES Y DERIVADOS,343kcal,1437KJ,24.30g,9.30g,9.10g,56.10g,-1.00g,-1.00g,1.30g,-1mg,-1mg,-1.00mg,5.16mg,-1mg,-1mg,-1μg,-1μg,-1.00mg,0.42mg,-1.00mg,-1.00mg,-1μg,
A138,Pan vico de Iquitos,CEREALES Y DERIVADOS,333kcal,1394KJ,19.30g,11.60g,4.10g,62.40g,-1.00g,-1.00g,2.50g,-1mg,-1mg,-1.00mg,5.88mg,-1mg,-1mg,-1μg,-1μg,0.70mg,0.46mg,4.92mg,-1.00mg,230μg,
A139,"Pasta con huevo sin fortificar, cruda*",CEREALES Y DERIVADOS,375kcal,1567KJ,9.00g,14.20g,4.40g,71.30g,68.00g,3.30g,1.10g,35mg,241mg,1.92mg,1.90mg,21mg,244mg,-1μg,17μg,0.17mg,0.09mg,2.10mg,0.00mg,0μg,
A140,"Pasta con huevo fortificada, cruda*",CEREALES Y DERIVADOS,375kcal,1567KJ,9.00g,14.20g,4.40g,71.30g,68.00g,3.30g,1.10g,35mg,241mg,1.92mg,4.01mg,21mg,244mg,-1μg,17μg,1.13mg,0.43mg,8.39mg,0.00mg,201μg,
A141,"Pasta fortificada, cruda*",CEREALES Y DERIVADOS,360kcal,1506KJ,9.90g,13.00g,1.50g,74.70g,71.50g,3.20g,0.90g,18mg,150mg,1.26mg,3.52mg,5mg,162mg,-1μg,0μg,0.89mg,0.40mg,7.18mg,0.00mg,219μg,
A142,"Pasta sin fortificar, cruda*",CEREALES Y DERIVADOS,360kcal,1506KJ,9.90g,13.00g,1.50g,74.70g,71.50g,3.20g,0.90g,18mg,150mg,1.26mg,1.30mg,5mg,162mg,-1μg,0μg,0.09mg,0.06mg,1.70mg,0.00mg,0μg,
A143,"Quinua, variedad real",CEREALES Y DERIVADOS,331kcal,1385KJ,12.90g,14.20g,5.10g,65.90g,56.70g,9.10g,2.00g,-1mg,-1mg,2.68mg,4.00mg,30mg,776mg,-1μg,-1μg,0.28mg,0.30mg,-1.00mg,-1.00mg,-1μg,
A144,"Quinua, variedad Ayara (Puno)",CEREALES Y DERIVADOS,276kcal,1156KJ,12.30g,14.00g,6.30g,62.60g,41.10g,21.50g,4.80g,-1mg,-1mg,-1.00mg,6.25mg,30mg,776mg,-1μg,-1μg,-1.00mg,-1.00mg,-1.00mg,-1.00mg,-1μg,
A145,"Quinua, variedad blanca de Juli (Puno)",CEREALES Y DERIVADOS,347kcal,1453KJ,10.20g,11.60g,4.80g,70.60g,63.70g,6.90g,2.80g,-1mg,-1mg,-1.00mg,4.32mg,30mg,776mg,-1μg,-1μg,-1.00mg,-1.00mg,-1.00mg,-1.00mg,-1μg,
A146,"Quinua, variedad CICA-18 (Puno)",CEREALES Y DERIVADOS,345kcal,1445KJ,9.80g,14.40g,5.70g,66.40g,58.70g,7.60g,3.80g,-1mg,-1mg,-1.00mg,4.37mg,30mg,776mg,-1μg,-1μg,-1.00mg,-1.00mg,-1.00mg,-1.00mg,-1μg,
A147,"Quinua, variedad CICA-127 (Puno)",CEREALES Y DERIVADOS,360kcal,1506KJ,8.90g,15.80g,5.20g,67.10g,62.00g,5.10g,3.00g,-1mg,-1mg,-1.00mg,5.81mg,30mg,776mg,-1μg,-1μg,-1.00mg,-1.00mg,-1.00mg,-1.00mg,-1μg,
A148,"Quinua, variedad Cuchiwilla (Puno)",CEREALES Y DERIVADOS,317kcal,1327KJ,11.40g,15.20g,5.20g,64.30g,52.10g,12.20g,3.90g,-1mg,-1mg,-1.00mg,4.15mg,30mg,776mg,-1μg,-1μg,-1.00mg,-1.00mg,-1.00mg,-1.00mg,-1μg,
A149,"Quinua, variedad Choclito (Puno)",CEREALES Y DERIVADOS,342kcal,1430KJ,11.70g,13.40g,5.20g,67.10g,59.90g,7.20g,2.70g,-1mg,-1mg,-1.00mg,4.49mg,30mg,776mg,-1μg,-1μg,-1.00mg,-1.00mg,-1.00mg,-1.00mg,-1μg,
A150,"Quinua, variedad Chullpi- roja (Puno)",CEREALES Y DERIVADOS,330kcal,1379KJ,11.30g,13.70g,5.50g,66.90g,55.90g,10.90g,2.70g,-1mg,-1mg,-1.00mg,5.87mg,30mg,776mg,-1μg,-1μg,-1.00mg,-1.00mg,-1.00mg,-1.00mg,-1μg,
A151,"Quinua, variedad Misa Jiura (Puno)",CEREALES Y DERIVADOS,349kcal,1460KJ,10.50g,12.30g,5.40g,68.60g,62.20g,6.40g,3.20g,-1mg,-1mg,-1.00mg,4.00mg,30mg,776mg,-1μg,-1μg,-1.00mg,-1.00mg,-1.00mg,-1.00mg,-1μg,
A152,"Quinua, variedad Pasankalla-roja (Puno)",CEREALES Y DERIVADOS,355kcal,1486KJ,10.10g,12.70g,6.20g,68.50g,61.60g,6.90g,2.50g,-1mg,-1mg,-1.00mg,4.85mg,30mg,776mg,-1μg,-1μg,-1.00mg,-1.00mg,-1.00mg,-1.00mg,-1μg,
A153,"Quinua, variedad  Q' OITU-negra (Puno)",CEREALES Y DERIVADOS,308kcal,1288KJ,11.50g,11.60g,4.90g,68.20g,53.90g,14.30g,3.80g,-1mg,-1mg,-1.00mg,11.53mg,30mg,776mg,-1μg,-1μg,-1.00mg,-1.00mg,-1.00mg,-1.00mg,-1μg,
A154,"Quinua, variedad Wariponcho (Puno)",CEREALES Y DERIVADOS,347kcal,1451KJ,11.50g,12.60g,5.50g,67.90g,61.20g,6.70g,2.60g,-1mg,-1mg,-1.00mg,3.77mg,30mg,776mg,-1μg,-1μg,-1.00mg,-1.00mg,-1.00mg,-1.00mg,-1μg,
A155,"Quinua, variedad Witulla (Puno)",CEREALES Y DERIVADOS,350kcal,1464KJ,9.90g,13.70g,5.90g,67.80g,60.20g,7.70g,2.80g,-1mg,-1mg,-1.00mg,4.99mg,30mg,776mg,-1μg,-1μg,-1.00mg,-1.00mg,-1.00mg,-1.00mg,-1μg,
A156,Rosquita de almidón de Iquitos,CEREALES Y DERIVADOS,469kcal,1962KJ,3.30g,1.80g,18.30g,74.20g,-1.00g,-1.00g,2.30g,-1mg,-1mg,-1.00mg,2.30mg,-1mg,-1mg,-1μg,-1μg,0.03mg,0.09mg,0.89mg,-1.00mg,26μg,
A157,"Siete harinas (trigo, habas, arvejas, kiwicha, cañihua, cebada, quinua)",CEREALES Y DERIVADOS,347kcal,1453KJ,1.50g,8.80g,3.20g,84.80g,70.80g,14.10g,1.60g,-1mg,-1mg,3.15mg,3.89mg,-1mg,-1mg,-1μg,-1μg,-1.00mg,-1.00mg,-1.00mg,-1.00mg,-1μg,
A158,"Trigo, hojuela de (chaque)",CEREALES Y DERIVADOS,322kcal,1346KJ,16.00g,10.00g,2.50g,70.20g,-1.00g,-1.00g,1.40g,-1mg,-1mg,2.23mg,2.10mg,-1mg,-1mg,-1μg,-1μg,-1.00mg,-1.00mg,-1.00mg,-1.00mg,-1μg,
A159,Trigo sin tostar (chaquepa),CEREALES Y DERIVADOS,338kcal,1416KJ,11.90g,7.00g,2.20g,77.90g,-1.00g,-1.00g,0.90g,-1mg,-1mg,1.71mg,2.43mg,-1mg,-1mg,-1μg,-1μg,-1.00mg,-1.00mg,-1.00mg,-1.00mg,-1μg,
A160,Trigo tostado (chaquepa),CEREALES Y DERIVADOS,369kcal,1545KJ,3.90g,7.60g,2.50g,84.90g,-1.00g,-1.00g,1.10g,-1mg,-1mg,1.44mg,1.73mg,-1mg,-1mg,-1μg,-1μg,-1.00mg,-1.00mg,-1.00mg,-1.00mg,-1μg,
A161,"Alfajor con relleno de leche y maní cubierto con chocolate, envasado",CEREALES Y DERIVADOS,502kcal,2099KJ,2.40g,8.10g,26.50g,61.80g,57.60g,4.20g,1.20g,104mg,128mg,0.80mg,4.04mg,103mg,223mg,-1μg,0μg,0.21mg,0.29mg,2.84mg,5.00mg,0μg,
A162,"Avena cañihua, hojuela de",CEREALES Y DERIVADOS,347kcal,1449KJ,12.10g,12.20g,10.20g,63.50g,53.20g,10.40g,1.90g,40mg,400mg,2.26mg,3.60mg,1mg,363mg,-1μg,-1μg,0.45mg,0.00mg,0.72mg,-1.00mg,-1μg,
A163,"Avena con chía, hojuela precocida de",CEREALES Y DERIVADOS,381kcal,1591KJ,8.10g,11.20g,16.50g,62.50g,49.50g,13.00g,1.70g,70mg,340mg,2.14mg,3.56mg,2mg,343mg,-1μg,-1μg,0.49mg,0.00mg,0.93mg,-1.00mg,-1μg,
A164,"Avena con kiwicha, canela y clavo en polvo, hojuela precocida de",CEREALES Y DERIVADOS,342kcal,1428KJ,12.10g,12.40g,7.70g,66.00g,56.90g,9.10g,1.80g,55mg,400mg,2.45mg,3.54mg,1mg,329mg,-1μg,-1μg,0.41mg,0.00mg,0.72mg,-1.00mg,-1μg,
A165,"Avena con maca, hojuela precocida de",CEREALES Y DERIVADOS,365kcal,1526KJ,9.00g,10.60g,11.00g,67.60g,57.40g,10.10g,1.80g,50mg,330mg,2.05mg,3.02mg,3mg,424mg,-1μg,-1μg,0.45mg,0.00mg,0.85mg,-1.00mg,-1μg,
A166,"Avena con cereales andinos (cañihua, kiwicha y quinua), hojuela precocida de",CEREALES Y DERIVADOS,349kcal,1459KJ,9.80g,11.20g,10.40g,64.30g,54.30g,10.00g,4.40g,865mg,340mg,2.04mg,9.33mg,1mg,271mg,-1μg,-1μg,1.43mg,0.00mg,14.21mg,-1.00mg,-1μg,
A167,"Avena con quinua, hojuela precocida de",CEREALES Y DERIVADOS,369kcal,1541KJ,8.80g,11.10g,10.80g,67.60g,58.30g,9.30g,1.70g,40mg,320mg,1.97mg,3.14mg,6mg,372mg,-1μg,-1μg,0.47mg,0.00mg,0.74mg,-1.00mg,-1μg,
A168,"Avena con quinua, canela y clavo en polvo, hojuela precocida de",CEREALES Y DERIVADOS,337kcal,1408KJ,12.00g,11.90g,7.30g,67.00g,57.00g,9.90g,1.90g,60mg,390mg,2.45mg,3.45mg,34mg,346mg,-1μg,-1μg,0.45mg,0.00mg,0.50mg,-1.00mg,-1μg,
A169,Croissant de mantequilla o cachito de mantequilla,CEREALES Y DERIVADOS,373kcal,1560KJ,23.90g,8.30g,18.50g,47.50g,43.40g,4.10g,1.80g,248mg,70mg,1.61mg,0.35mg,262mg,95mg,-1μg,0μg,0.52mg,0.42mg,4.32mg,-1.00mg,-1μg,
A170,Galletas con salvado de trigo con sabor a miel,CEREALES Y DERIVADOS,429kcal,1794KJ,2.40g,7.60g,15.90g,72.60g,63.90g,8.80g,1.50g,47mg,178mg,0.84mg,6.48mg,327mg,190mg,0μg,0μg,0.33mg,0.19mg,2.81mg,5.70mg,129μg,
A171,"Galleta cubierta con higo,confites, grageas y miel (Turrón de Doña Pepa).  envasado",CEREALES Y DERIVADOS,473kcal,1979KJ,4.40g,5.70g,23.40g,65.40g,59.90g,5.50g,1.10g,32mg,63mg,0.65mg,4.30mg,337mg,98mg,-1μg,0μg,0.27mg,0.13mg,2.28mg,5.13mg,0μg,
A172,Galleta de agua,CEREALES Y DERIVADOS,411kcal,1720KJ,2.50g,10.00g,5.90g,79.40g,-1.00g,-1.00g,2.10g,95mg,125mg,0.95mg,6.24mg,577mg,161mg,-1μg,-1μg,0.45mg,0.33mg,5.29mg,-1.00mg,163μg,
A173,"Granola de avena con cebada, pasas, maní y almendras",CEREALES Y DERIVADOS,450kcal,1882KJ,4.90g,10.80g,20.00g,62.80g,56.70g,6.10g,1.50g,52mg,203mg,6.95mg,2.28mg,84mg,200mg,0μg,0μg,0.31mg,0.03mg,0.91mg,4.38mg,0μg,
A174,Galleta de soda con cobertura sabor a chocolate,CEREALES Y DERIVADOS,497kcal,2081KJ,1.40g,5.00g,21.80g,70.30g,-1.00g,-1.00g,1.50g,45mg,120mg,1.96mg,3.64mg,291mg,263mg,-1μg,-1μg,0.17mg,0.24mg,3.30mg,-1.00mg,0μg,
A175,"Galleta dulce, rellena con crema sabor coco",CEREALES Y DERIVADOS,499kcal,2087KJ,1.30g,4.40g,21.40g,72.10g,-1.00g,-1.00g,0.70g,14mg,40mg,0.30mg,3.12mg,202mg,71mg,-1μg,-1μg,0.20mg,0.22mg,3.05mg,-1.00mg,134μg,
A176,"Galleta sabor chocolate, rellena con crema sabor vainilla",CEREALES Y DERIVADOS,480kcal,2008KJ,1.60g,5.30g,18.20g,73.70g,-1.00g,-1.00g,1.20g,102mg,70mg,0.71mg,2.73mg,248mg,201mg,-1μg,-1μg,0.14mg,0.16mg,1.96mg,-1.00mg,53μg,
A177,Kiwicha pop de Lima (listo para consumo),CEREALES Y DERIVADOS,410kcal,1715KJ,3.40g,14.00g,6.70g,73.50g,-1.00g,-1.00g,2.50g,779mg,545mg,3.98mg,5.59mg,21mg,445mg,-1μg,-1μg,-1.00mg,-1.00mg,-1.00mg,-1.00mg,-1μg,
A178,"Kiwicha tostada, harina de",CEREALES Y DERIVADOS,364kcal,1519KJ,7.30g,13.20g,8.60g,68.40g,59.70g,8.70g,2.50g,115mg,440mg,4.31mg,5.62mg,1mg,473mg,-1μg,-1μg,0.09mg,0.00mg,1.52mg,-1.00mg,-1μg,
A179,"Maíz, extruído con cocoa, sabor chocolate (listo para consumo)",CEREALES Y DERIVADOS,384kcal,1607KJ,4.30g,7.00g,1.80g,85.10g,-1.00g,-1.00g,1.90g,517mg,230mg,0.74mg,23.80mg,150mg,202mg,-1μg,-1μg,-1.00mg,-1.00mg,-1.00mg,-1.00mg,-1μg,
A180,"Maíz, hojuela azucarada (listo para consumo)",CEREALES Y DERIVADOS,376kcal,1574KJ,4.00g,6.40g,0.20g,87.20g,-1.00g,-1.00g,2.20g,506mg,210mg,0.66mg,19.30mg,394mg,102mg,-1μg,-1μg,-1.00mg,-1.00mg,-1.00mg,-1.00mg,-1μg,
A181,"Maíz, hojuela para desayuno (listo para consumo)",CEREALES Y DERIVADOS,381kcal,1596KJ,4.00g,7.50g,1.60g,84.30g,-1.00g,-1.00g,2.60g,536mg,205mg,0.78mg,22.20mg,474mg,122mg,-1μg,-1μg,-1.00mg,-1.00mg,-1.00mg,-1.00mg,-1μg,
A182,"Maíz pop corn, para cancha, crudo",CEREALES Y DERIVADOS,308kcal,1286KJ,13.50g,9.60g,3.50g,72.50g,58.70g,13.80g,0.90g,6mg,210mg,2.61mg,3.12mg,0mg,353mg,0μg,0μg,0.25mg,0.06mg,2.45mg,0.00mg,-1μg,
A183,"Masa para wantán, cruda",CEREALES Y DERIVADOS,288kcal,1205KJ,29.40g,8.60g,1.00g,59.90g,-1.00g,-1.00g,1.10g,14mg,60mg,0.63mg,2.02mg,390mg,80mg,0μg,0μg,0.10mg,0.10mg,4.93mg,0.00mg,83μg,
A184,"Palitos de harina de trigo con ajonjolí, envasado",CEREALES Y DERIVADOS,443kcal,1852KJ,1.30g,14.20g,16.10g,65.50g,60.30g,5.20g,2.90g,151mg,145mg,1.26mg,8.44mg,833mg,202mg,291μg,49μg,0.55mg,0.27mg,4.69mg,5.63mg,135μg,
A185,"Palomitas de maíz, sabor natural con sal y aceite vegetal, para microondas (Pop corn)",CEREALES Y DERIVADOS,401kcal,1678KJ,8.30g,8.40g,18.60g,63.60g,50.10g,13.50g,1.20g,6mg,215mg,1.74mg,1.32mg,108mg,204mg,0μg,0μg,0.29mg,0.03mg,0.31mg,2.30mg,-1μg,
A186,Pan de molde integral,CEREALES Y DERIVADOS,274kcal,1145KJ,29.80g,12.40g,5.90g,49.20g,42.80g,6.40g,2.70g,308mg,180mg,1.69mg,5.65mg,452mg,268mg,0μg,0μg,0.38mg,0.35mg,6.35mg,0.00mg,109μg,
A187,"Pan pita, envasado",CEREALES Y DERIVADOS,238kcal,995KJ,32.70g,16.10g,0.70g,48.10g,41.80g,6.30g,2.40g,110mg,170mg,1.25mg,4.29mg,341mg,134mg,-1μg,-1μg,0.64mg,0.34mg,4.18mg,-1.00mg,187μg,
A188,"Pastel sabor chocolate, relleno con crema sabor vainilla y  decorado con glase, envasado",CEREALES Y DERIVADOS,340kcal,1423KJ,22.60g,4.70g,7.60g,63.20g,-1.00g,-1.00g,2.00g,153mg,295mg,0.64mg,4.69mg,362mg,149mg,-1μg,89μg,0.10mg,0.14mg,2.96mg,-1.00mg,-1μg,
