Código,Título,Estrato,Energía <ENERC> - kcal,Energía <ENERC> - KJ,Agua <WATER>,Proteínas <PROCNT>,Grasa total <FAT>,Carbohidratos totales <CHOCDF>,Carbohidratos disponibles <CHOAVL>,Fibra dietaria <FIBTG>,Cenizas <ASH>,Calcio <CA>,Fósforo <P>,Zinc <ZN>,Hierro <FE>,Sodio <NA>,Potasio <K>,Vitamina A equivalentes totales <VITA>,Tiamina <THIA>,Riboflavina <RIBF>,Niacina <NIA>,Vitamina C <VITC>,Ácido fólico,Acción
SS270,Seco a la huachana con menestra y arroz,C,154kcal,644KJ,15.80g,6.50g,1.90g,27.50g,24.30g,3.20g,1.20g,24mg,91mg,0.96mg,1.42mg,241mg,9mg,27μg,0.05mg,0.07mg,1.30mg,1.96mg,0μg,
SS271,Seco a la norteña con arroz,A,128kcal,535KJ,44.40g,5.30g,1.10g,24.20g,22.80g,1.40g,0.70g,15mg,76mg,0.83mg,0.86mg,72mg,25mg,92μg,0.08mg,0.07mg,1.80mg,5.39mg,0μg,
SS271,Seco a la norteña con arroz,B,150kcal,629KJ,50.60g,7.00g,0.90g,28.50g,27.60g,0.80g,0.80g,15mg,96mg,1.48mg,1.38mg,14mg,0mg,0μg,0.05mg,0.14mg,2.30mg,4.75mg,0μg,
SS271,Seco a la norteña con arroz,D,135kcal,563KJ,48.90g,8.70g,1.80g,20.90g,20.10g,0.80g,0.80g,15mg,94mg,0.91mg,0.96mg,84mg,19mg,8μg,0.06mg,0.12mg,3.24mg,4.67mg,0μg,
SS271,Seco a la norteña con arroz,E,148kcal,620KJ,39.20g,5.30g,1.20g,28.70g,27.90g,0.80g,0.80g,21mg,81mg,1.06mg,1.18mg,310mg,43mg,6μg,0.04mg,0.05mg,1.65mg,9.18mg,0μg,
SS272,Seco a la norteña con menestra y arroz,A,134kcal,560KJ,28.90g,8.50g,0.90g,22.70g,19.00g,3.80g,1.10g,29mg,114mg,1.47mg,1.96mg,314mg,16mg,2μg,0.05mg,0.04mg,1.85mg,1.92mg,0μg,
SS272,Seco a la norteña con menestra y arroz,C,110kcal,461KJ,19.80g,6.40g,1.10g,18.60g,15.40g,3.20g,0.90g,24mg,89mg,1.05mg,1.44mg,174mg,5mg,29μg,0.06mg,0.08mg,1.42mg,1.66mg,0μg,
SS272,Seco a la norteña con menestra y arroz,D,125kcal,525KJ,20.00g,6.00g,1.20g,22.80g,19.90g,3.00g,0.80g,24mg,87mg,0.99mg,1.34mg,136mg,10mg,11μg,0.06mg,0.06mg,1.24mg,2.40mg,0μg,
SS272,Seco a la norteña con menestra y arroz,E,130kcal,543KJ,20.80g,5.50g,1.80g,22.90g,20.70g,2.20g,0.80g,22mg,79mg,0.95mg,1.19mg,253mg,8mg,11μg,0.06mg,0.05mg,1.22mg,2.48mg,0μg,
SS273,"Seco a la norteña con menestra, sarsa criolla y arroz",C,123kcal,514KJ,25.10g,5.90g,1.30g,21.80g,18.80g,3.00g,0.80g,23mg,87mg,0.99mg,1.46mg,176mg,10mg,3μg,0.05mg,0.04mg,1.25mg,3.10mg,0μg,
SS273,"Seco a la norteña con menestra, sarsa criolla y arroz",D,150kcal,629KJ,18.80g,5.40g,1.90g,27.20g,25.60g,1.60g,0.60g,15mg,79mg,0.97mg,1.09mg,398mg,6mg,3μg,0.05mg,0.03mg,1.30mg,1.53mg,0μg,
SS274,Seco a la norteña con sarsa criolla y arroz,C,117kcal,490KJ,31.00g,4.50g,1.50g,20.90g,20.50g,0.50g,0.60g,13mg,65mg,0.91mg,0.91mg,493mg,14mg,4μg,0.03mg,0.04mg,1.43mg,7.49mg,0μg,
SS274,Seco a la norteña con sarsa criolla y arroz,E,128kcal,534KJ,38.00g,4.40g,1.90g,22.70g,22.20g,0.50g,0.70g,15mg,65mg,0.86mg,1.07mg,685mg,22mg,4μg,0.04mg,0.05mg,1.32mg,4.85mg,0μg,
SS275,Seco a la norteña de pollo con menestra y arroz,B,125kcal,523KJ,33.70g,8.80g,2.50g,16.60g,14.40g,2.20g,1.00g,21mg,98mg,0.88mg,1.31mg,329mg,14mg,7μg,0.05mg,0.06mg,2.68mg,2.74mg,0μg,
SS275,Seco a la norteña de pollo con menestra y arroz,C,120kcal,501KJ,35.00g,6.40g,1.50g,19.90g,19.30g,0.60g,0.50g,10mg,73mg,0.70mg,0.74mg,230mg,17mg,14μg,0.05mg,0.07mg,2.35mg,3.45mg,0μg,
SS275,Seco a la norteña de pollo con menestra y arroz,D,136kcal,569KJ,37.50g,9.30g,2.10g,20.10g,17.00g,3.00g,1.10g,23mg,129mg,0.60mg,2.70mg,126mg,109mg,3μg,0.04mg,0.02mg,0.57mg,1.39mg,0μg,
SS275,Seco a la norteña de pollo con menestra y arroz,E,70kcal,294KJ,17.40g,4.00g,1.50g,10.10g,8.50g,1.60g,0.70g,13mg,50mg,0.43mg,0.76mg,503mg,4mg,2μg,0.03mg,0.03mg,1.04mg,1.67mg,0μg,
SS276,Seco a la norteña de res con menestra y arroz,C,127kcal,530KJ,20.40g,5.90g,1.40g,22.20g,19.70g,2.60g,0.70g,23mg,85mg,1.03mg,1.37mg,176mg,9mg,10μg,0.04mg,0.03mg,1.30mg,2.14mg,0μg,
