Código,Título,Estrato,Energía <ENERC> - kcal,Energía <ENERC> - KJ,Agua <WATER>,Proteínas <PROCNT>,Grasa total <FAT>,Carbohidratos totales <CHOCDF>,Carbohidratos disponibles <CHOAVL>,Fibra dietaria <FIBTG>,Cenizas <ASH>,Calcio <CA>,Fósforo <P>,Zinc <ZN>,Hierro <FE>,Sodio <NA>,Potasio <K>,Vitamina A equivalentes totales <VITA>,Tiamina <THIA>,Riboflavina <RIBF>,Niacina <NIA>,Vitamina C <VITC>,Ácido fólico,Acción
SS302,Steak al tequila,A,108kcal,453KJ,18.40g,5.60g,0.50g,20.00g,18.40g,1.60g,0.60g,17mg,79mg,1.12mg,1.46mg,73mg,3mg,32μg,0.06mg,0.07mg,1.38mg,1.20mg,0μg,
SS303,Sudado de pescado con arroz,B,153kcal,640KJ,19.70g,5.20g,1.30g,29.00g,28.90g,0.10g,0.40g,11mg,73mg,0.62mg,0.58mg,388mg,0mg,4μg,0.05mg,0.03mg,1.18mg,2.88mg,0μg,
SS303,Sudado de pescado con arroz,C,131kcal,548KJ,44.50g,4.50g,2.30g,23.10g,22.40g,0.80g,0.90g,17mg,79mg,0.40mg,0.75mg,196mg,4mg,6μg,0.04mg,0.07mg,1.26mg,9.49mg,0μg,
SS303,Sudado de pescado con arroz,D,95kcal,398KJ,52.60g,5.20g,1.10g,15.90g,15.30g,0.70g,0.90g,17mg,67mg,0.35mg,0.67mg,254mg,3mg,10μg,0.04mg,0.06mg,0.95mg,11.56mg,0μg,
SS303,Sudado de pescado con arroz,E,127kcal,532KJ,45.50g,6.20g,0.70g,23.80g,23.20g,0.60g,0.60g,12mg,87mg,0.49mg,0.96mg,199mg,4mg,7μg,0.05mg,0.09mg,1.66mg,9.91mg,0μg,
SS304,Suprema de pescado con arroz y ensalada,D,161kcal,672KJ,17.60g,8.00g,1.70g,28.30g,23.60g,4.60g,0.70g,20mg,76mg,1.04mg,1.48mg,117mg,0mg,67μg,0.09mg,0.07mg,0.96mg,3.90mg,6μg,
SS305,Suprema de pollo con arroz,C,177kcal,740KJ,24.60g,8.10g,2.60g,30.80g,28.10g,0.60g,0.70g,51mg,86mg,1.02mg,2.69mg,68mg,0mg,18μg,0.06mg,0.06mg,0.96mg,7.93mg,0μg,
SS306,Tacacho con cecina,C,213kcal,892KJ,54.70g,5.40g,10.20g,27.90g,26.30g,1.60g,0.80g,9mg,76mg,0.50mg,0.52mg,415mg,85mg,39μg,0.28mg,0.15mg,1.50mg,7.31mg,0μg,
SS307,Tacu tacu con churrasco,A,160kcal,668KJ,32.40g,7.10g,3.80g,24.30g,21.30g,3.00g,2.10g,36mg,99mg,1.17mg,1.74mg,919mg,0mg,4μg,0.06mg,0.05mg,1.51mg,3.76mg,0μg,
SS308,Tacu tacu con filete de pollo,D,113kcal,471KJ,17.00g,5.70g,2.30g,16.80g,15.80g,1.00g,0.40g,7mg,63mg,0.64mg,0.58mg,313mg,8mg,4μg,0.04mg,0.04mg,1.82mg,0.80mg,0μg,
SS308,Tacu tacu con filete de pollo,E,145kcal,608KJ,30.10g,8.60g,1.50g,24.70g,18.90g,5.80g,1.20g,35mg,126mg,1.02mg,1.86mg,476mg,1mg,20μg,0.08mg,0.05mg,1.79mg,4.75mg,0μg,
SS309,Tacu tacu con lomito,A,130kcal,543KJ,20.00g,7.70g,2.90g,18.50g,15.10g,3.30g,0.90g,25mg,95mg,1.02mg,1.43mg,524mg,0mg,1μg,0.05mg,0.04mg,1.23mg,2.00mg,1μg,
SS309,Tacu tacu con lomito,D,157kcal,656KJ,23.20g,8.50g,1.50g,27.10g,22.20g,4.90g,1.20g,32mg,121mg,1.39mg,2.00mg,201mg,0mg,2μg,0.06mg,0.04mg,1.61mg,3.14mg,0μg,
SS309,Tacu tacu con lomito,E,163kcal,680KJ,44.20g,7.00g,6.30g,19.70g,16.00g,3.50g,1.80g,27mg,103mg,1.17mg,1.83mg,148mg,3mg,5μg,0.06mg,0.07mg,1.79mg,3.93mg,0μg,
SS310,Tacu tacu con lomo y arroz,D,152kcal,634KJ,21.40g,6.10g,2.50g,25.80g,23.30g,2.50g,0.70g,18mg,88mg,1.06mg,1.31mg,274mg,0mg,0μg,0.05mg,0.04mg,1.36mg,1.98mg,0μg,
SS311,Tacu tacu con pescado,C,162kcal,678KJ,38.30g,10.10g,4.50g,20.30g,16.30g,4.00g,1.20g,28mg,99mg,0.69mg,1.48mg,374mg,45mg,4μg,0.05mg,0.03mg,1.12mg,4.86mg,0μg,
SS311,Tacu tacu con pescado,D,158kcal,663KJ,33.60g,8.90g,4.10g,20.50g,19.10g,1.40g,0.80g,12mg,49mg,0.48mg,0.91mg,118mg,2mg,9μg,0.04mg,0.02mg,0.58mg,2.18mg,0μg,
SS312,Tallarines al pesto con bisteck,B,140kcal,584KJ,31.90g,6.10g,4.80g,18.90g,18.00g,1.00g,0.50g,52mg,82mg,0.97mg,2.24mg,128mg,0mg,32μg,0.04mg,0.08mg,1.20mg,0.99mg,0μg,
SS313,Tallarines al pesto con res,A,226kcal,947KJ,50.90g,16.30g,8.30g,21.80g,20.80g,1.10g,1.50g,179mg,181mg,2.46mg,3.21mg,225mg,5mg,29μg,0.05mg,0.16mg,3.08mg,0.60mg,0μg,
SS314,Tallarines chifa,A,189kcal,793KJ,19.20g,7.50g,1.00g,40.20g,36.90g,3.00g,0.90g,29mg,121mg,1.08mg,1.96mg,59mg,0mg,7μg,0.09mg,0.07mg,1.56mg,1.72mg,0μg,
SS315,Tallarines con pollo,C,159kcal,666KJ,59.90g,10.50g,1.90g,26.20g,24.60g,1.60g,0.80g,20mg,115mg,0.96mg,2.40mg,358mg,9mg,79μg,0.08mg,0.11mg,3.40mg,5.63mg,0μg,
SS316,Tallarines con pollo y crema a la huancaína,A,152kcal,637KJ,52.60g,10.80g,3.20g,20.90g,19.50g,1.30g,1.10g,38mg,115mg,0.92mg,2.00mg,255mg,5mg,80μg,0.07mg,0.12mg,3.28mg,5.17mg,0μg,
SS317,Tallarines rojos con pollo,A,147kcal,613KJ,59.50g,10.20g,2.10g,22.70g,21.20g,1.50g,0.80g,31mg,111mg,0.96mg,2.24mg,244mg,8mg,84μg,0.07mg,0.10mg,3.07mg,6.54mg,0μg,
SS317,Tallarines rojos con pollo,C,132kcal,551KJ,49.20g,8.20g,2.30g,20.30g,17.90g,1.20g,0.80g,29mg,93mg,0.76mg,1.85mg,227mg,7mg,76μg,0.06mg,0.09mg,2.44mg,5.01mg,0μg,
SS317,Tallarines rojos con pollo,D,123kcal,516KJ,47.30g,7.40g,2.10g,19.60g,17.90g,1.30g,0.70g,26mg,84mg,0.68mg,1.73mg,240mg,5mg,56μg,0.06mg,0.09mg,2.23mg,7.18mg,0μg,
SS317,Tallarines rojos con pollo,E,131kcal,547KJ,46.90g,7.80g,2.30g,20.70g,18.70g,1.30g,0.70g,33mg,90mg,0.71mg,1.75mg,138mg,6mg,80μg,0.06mg,0.09mg,2.25mg,5.45mg,0μg,
SS318,Tallarines saltado,C,190kcal,794KJ,48.80g,8.50g,1.60g,37.30g,33.70g,2.10g,0.50g,27mg,108mg,0.88mg,5.71mg,775mg,1mg,45μg,0.09mg,0.07mg,1.86mg,3.14mg,0μg,
SS319,Tallarines saltados con pollo,A,183kcal,766KJ,52.00g,7.80g,4.90g,28.10g,25.50g,1.70g,0.80g,42mg,108mg,0.78mg,2.42mg,511mg,0mg,11μg,0.07mg,0.07mg,1.96mg,19.80mg,0μg,
SS319,Tallarines saltados con pollo,C,164kcal,686KJ,57.60g,8.50g,3.40g,26.00g,24.10g,1.40g,0.70g,30mg,112mg,0.82mg,2.71mg,157mg,4mg,14μg,0.07mg,0.08mg,2.45mg,11.34mg,0μg,
SS320,Tallarines verdes con chuleta,D,245kcal,1025KJ,49.00g,8.60g,11.20g,29.20g,27.40g,1.70g,1.50g,74mg,117mg,0.97mg,3.04mg,251mg,73mg,60μg,0.25mg,0.17mg,1.47mg,3.31mg,0μg,
SS321,Tallarines verdes con churrasco,A,198kcal,829KJ,57.80g,8.90g,8.20g,23.80g,22.00g,1.80g,1.10g,143mg,124mg,1.35mg,3.64mg,108mg,0mg,150μg,0.07mg,0.16mg,1.75mg,4.83mg,0μg,
SS321,Tallarines verdes con churrasco,D,239kcal,998KJ,43.70g,8.70g,7.30g,36.60g,34.40g,2.30g,1.40g,97mg,112mg,1.38mg,4.34mg,845mg,0mg,71μg,0.08mg,0.12mg,1.61mg,4.82mg,0μg,
SS322,Tallarines verdes con churrasco y crema a la huancaína,A,185kcal,773KJ,56.10g,7.40g,4.00g,31.20g,26.00g,1.30g,0.90g,85mg,114mg,1.03mg,2.88mg,149mg,0mg,40μg,0.06mg,0.12mg,1.13mg,3.29mg,0μg,
SS323,Tallarines verdes con hígado,B,85kcal,354KJ,33.20g,4.20g,2.10g,13.20g,10.40g,0.80g,0.70g,46mg,54mg,0.68mg,1.78mg,807mg,9mg,535μg,0.05mg,0.25mg,1.50mg,4.77mg,2μg,
SS323,Tallarines verdes con hígado,C,230kcal,962KJ,50.40g,9.00g,9.50g,29.30g,27.40g,1.80g,1.20g,114mg,124mg,1.38mg,3.91mg,243mg,0mg,985μg,0.10mg,0.48mg,2.80mg,6.77mg,0μg,
SS323,Tallarines verdes con hígado,D,180kcal,752KJ,27.70g,7.70g,6.80g,23.70g,22.50g,1.30g,0.60g,60mg,92mg,1.23mg,3.19mg,442mg,0mg,999μg,0.09mg,0.42mg,2.77mg,4.94mg,0μg,
SS324,Tallarines verdes con milanesa,C,111kcal,465KJ,38.60g,6.60g,4.20g,12.50g,11.40g,1.10g,0.80g,90mg,80mg,0.60mg,1.85mg,424mg,0mg,92μg,0.05mg,0.12mg,1.80mg,3.85mg,0μg,
SS325,Tallarines verdes con pollo,A,182kcal,761KJ,42.00g,8.30g,10.80g,13.70g,12.70g,1.00g,0.70g,61mg,85mg,0.78mg,2.17mg,445mg,0mg,71μg,0.05mg,0.10mg,2.61mg,4.07mg,0μg,
SS325,Tallarines verdes con pollo,B,231kcal,968KJ,43.80g,8.60g,4.30g,41.80g,39.40g,2.20g,1.30g,127mg,137mg,0.94mg,3.86mg,173mg,0mg,89μg,0.09mg,0.17mg,1.09mg,2.42mg,0μg,
SS325,Tallarines verdes con pollo,C,198kcal,828KJ,53.60g,12.20g,4.10g,29.40g,27.70g,1.60g,1.00g,90mg,146mg,1.14mg,3.13mg,76mg,0mg,68μg,0.08mg,0.18mg,3.22mg,2.67mg,0μg,
SS325,Tallarines verdes con pollo,D,188kcal,788KJ,53.70g,10.00g,4.50g,28.20g,26.30g,1.80g,0.90g,103mg,121mg,1.01mg,3.45mg,579mg,0mg,105μg,0.08mg,0.15mg,2.52mg,4.34mg,0μg,
SS325,Tallarines verdes con pollo,E,171kcal,716KJ,37.10g,9.30g,6.90g,18.80g,17.80g,0.90g,0.60g,41mg,105mg,0.83mg,1.89mg,391mg,0mg,22μg,0.06mg,0.13mg,2.80mg,1.34mg,0μg,
SS326,Tallarines verdes con pollo y crema a la huancaína,D,206kcal,862KJ,48.20g,9.00g,1.90g,40.00g,37.70g,2.30g,0.80g,63mg,117mg,1.00mg,3.52mg,75mg,0mg,40μg,0.09mg,0.13mg,2.11mg,5.62mg,0μg,
SS326,Tallarines verdes con pollo y crema a la huancaína,E,152kcal,634KJ,54.20g,9.30g,2.70g,23.30g,17.60g,1.00g,0.90g,59mg,107mg,0.84mg,2.15mg,67mg,0mg,40μg,0.06mg,0.11mg,2.50mg,3.75mg,0μg,
SS327,Tallarines verdes con res,A,224kcal,936KJ,45.20g,11.70g,5.20g,34.10g,32.30g,1.80g,0.80g,74mg,147mg,1.96mg,3.99mg,488mg,0mg,38μg,0.07mg,0.13mg,2.56mg,1.52mg,0μg,
SS327,Tallarines verdes con res,B,100kcal,420KJ,33.10g,6.40g,4.60g,8.90g,8.20g,0.60g,0.60g,68mg,82mg,1.12mg,1.77mg,271mg,0mg,51μg,0.03mg,0.10mg,1.58mg,1.77mg,0μg,
SS327,Tallarines verdes con res,C,176kcal,737KJ,34.50g,7.80g,5.10g,26.00g,24.50g,1.50g,0.80g,98mg,112mg,1.12mg,2.96mg,615mg,0mg,66μg,0.06mg,0.11mg,1.37mg,1.73mg,0μg,
SS327,Tallarines verdes con res,D,218kcal,914KJ,49.50g,8.80g,5.90g,34.70g,32.40g,2.20g,1.00g,125mg,130mg,1.32mg,4.01mg,113mg,0mg,105μg,0.08mg,0.16mg,1.58mg,4.19mg,0μg,
SS327,Tallarines verdes con res,E,169kcal,709KJ,49.80g,8.90g,2.70g,28.70g,26.90g,1.70g,1.00g,77mg,117mg,1.48mg,3.50mg,327mg,0mg,71μg,0.07mg,0.13mg,1.98mg,3.37mg,0μg,
SS328,Ternera a la chiclayana con arroz,E,96kcal,402KJ,25.10g,3.90g,0.70g,18.50g,18.10g,0.40g,0.50g,6mg,55mg,0.36mg,0.57mg,53mg,36mg,1μg,0.03mg,0.05mg,0.54mg,2.94mg,0μg,
SS329,Trigo con adobo de pollo y arroz,C,138kcal,578KJ,29.20g,5.50g,4.50g,18.50g,17.80g,0.30g,1.30g,23mg,67mg,0.56mg,0.80mg,233mg,0mg,15μg,0.04mg,0.06mg,1.81mg,1.47mg,0μg,
SS330,Trigo con pollo y arroz,A,129kcal,540KJ,36.50g,8.10g,2.10g,18.30g,18.30g,0.00g,0.50g,23mg,89mg,0.74mg,0.73mg,18mg,0mg,12μg,0.04mg,0.06mg,2.84mg,0.90mg,0μg,
SS331,Trigo guisado con pollo y arroz,C,118kcal,495KJ,43.60g,7.90g,3.30g,13.50g,13.30g,0.20g,0.50g,12mg,80mg,0.69mg,0.75mg,820mg,0mg,6μg,0.04mg,0.05mg,2.91mg,1.80mg,0μg,
SS332,Trucha con arroz,D,299kcal,1250KJ,26.80g,4.20g,18.80g,28.80g,27.90g,0.90g,0.50g,7mg,49mg,0.45mg,0.90mg,386mg,0mg,0μg,0.09mg,0.07mg,1.32mg,3.86mg,0μg,
SS333,Trucha con menestra y arroz,A,142kcal,593KJ,24.20g,5.20g,4.70g,20.20g,16.30g,3.90g,0.90g,29mg,88mg,0.62mg,1.20mg,529mg,0mg,3μg,0.11mg,0.06mg,0.65mg,4.56mg,0μg,
SS334,Virado paulista,B,86kcal,360KJ,8.90g,3.50g,2.60g,11.80g,11.20g,0.60g,0.50g,11mg,44mg,0.60mg,0.85mg,91mg,0mg,7μg,0.05mg,0.06mg,0.34mg,0.21mg,0μg,
SR1,Chicha blanca,D,41kcal,172KJ,89.50g,0.30g,0.20g,9.90g,9.70g,0.20g,0.10g,3mg,14mg,0.12mg,0.18mg,0mg,0mg,0μg,0.01mg,0.00mg,0.13mg,0.31mg,0μg,
SR2,Emoliente,A,27kcal,115KJ,93.00g,0.10g,0.00g,6.80g,6.80g,0.00g,0.10g,4mg,3mg,0.01mg,0.19mg,0mg,0mg,0μg,0.00mg,0.01mg,0.12mg,0.64mg,0μg,
SR2,Emoliente,B,46kcal,194KJ,88.30g,0.40g,0.30g,10.90g,10.80g,0.00g,0.10g,5mg,9mg,0.01mg,0.38mg,0mg,0mg,0μg,0.00mg,0.01mg,0.35mg,0.19mg,0μg,
SR2,Emoliente,C,32kcal,135KJ,91.90g,0.20g,0.30g,7.50g,7.40g,0.00g,0.10g,4mg,3mg,0.01mg,0.19mg,0mg,0mg,0μg,0.00mg,0.00mg,0.10mg,0.17mg,0μg,
SR2,Emoliente,D,28kcal,117KJ,93.00g,0.10g,0.20g,6.70g,6.70g,0.00g,0.00g,3mg,2mg,0.01mg,0.17mg,0mg,0mg,0μg,0.00mg,0.00mg,0.09mg,0.05mg,0μg,
SR2,Emoliente,E,31kcal,131KJ,92.10g,0.20g,0.20g,7.40g,7.30g,0.00g,0.10g,4mg,4mg,0.01mg,0.23mg,0mg,0mg,0μg,0.00mg,0.01mg,0.17mg,0.27mg,0μg,
SR3,Infusión de hierbas,A,24kcal,99KJ,93.90g,0.00g,0.00g,6.10g,6.10g,0.00g,0.00g,3mg,0mg,0.01mg,0.11mg,0mg,0mg,0μg,0.00mg,0.00mg,0.01mg,0.04mg,0μg,
SR3,Infusión de hierbas,B,27kcal,112KJ,93.20g,0.00g,0.00g,6.80g,6.80g,0.00g,0.00g,3mg,0mg,0.01mg,0.12mg,0mg,0mg,0μg,0.00mg,0.00mg,0.00mg,0.00mg,0μg,
SR3,Infusión de hierbas,C,25kcal,104KJ,93.70g,0.00g,0.00g,6.30g,6.30g,0.00g,0.00g,3mg,0mg,0.01mg,0.11mg,0mg,0mg,0μg,0.00mg,0.00mg,0.01mg,0.01mg,0μg,
SR3,Infusión de hierbas,D,24kcal,101KJ,93.80g,0.00g,0.00g,6.20g,6.20g,0.00g,0.00g,3mg,0mg,0.01mg,0.11mg,0mg,0mg,0μg,0.00mg,0.00mg,0.01mg,0.00mg,0μg,
SR3,Infusión de hierbas,E,23kcal,98KJ,94.00g,0.00g,0.00g,6.00g,6.00g,0.00g,0.00g,3mg,0mg,0.01mg,0.11mg,0mg,0mg,0μg,0.00mg,0.00mg,0.01mg,0.04mg,0μg,
SR4,Limonada,A,21kcal,87KJ,94.60g,0.00g,0.00g,5.40g,5.30g,0.00g,0.00g,2mg,0mg,0.01mg,0.09mg,0mg,0mg,0μg,0.00mg,0.00mg,0.01mg,1.13mg,0μg,
SR4,Limonada,B,66kcal,276KJ,82.40g,0.10g,0.10g,17.10g,17.00g,0.00g,0.30g,17mg,11mg,0.01mg,0.28mg,0mg,0mg,0μg,0.00mg,0.02mg,0.08mg,6.04mg,0μg,
SR4,Limonada,C,30kcal,126KJ,92.20g,0.00g,0.00g,7.80g,7.80g,0.00g,0.00g,4mg,1mg,0.02mg,0.15mg,0mg,0mg,0μg,0.00mg,0.00mg,0.01mg,1.45mg,0μg,
SR4,Limonada,D,1kcal,5KJ,99.60g,0.00g,0.00g,0.40g,0.40g,0.00g,0.00g,0mg,0mg,0.00mg,0.01mg,0mg,0mg,0μg,0.00mg,0.00mg,0.00mg,0.92mg,0μg,
SR4,Limonada,E,21kcal,88KJ,94.60g,0.00g,0.00g,5.40g,5.40g,0.00g,0.00g,2mg,0mg,0.01mg,0.09mg,0mg,0mg,0μg,0.00mg,0.00mg,0.00mg,0.43mg,0μg,
SR5,Refresco de carambola,A,27kcal,113KJ,92.70g,0.10g,0.10g,7.00g,6.70g,0.20g,0.10g,3mg,1mg,0.03mg,0.25mg,1mg,7mg,1μg,0.00mg,0.01mg,0.00mg,2.77mg,0μg,
SR5,Refresco de carambola,B,19kcal,81KJ,94.90g,0.10g,0.00g,5.00g,4.80g,0.20g,0.00g,2mg,1mg,0.02mg,0.16mg,1mg,5mg,0μg,0.00mg,0.01mg,0.00mg,2.08mg,0μg,
SR5,Refresco de carambola,C,23kcal,96KJ,93.90g,0.10g,0.00g,5.90g,5.70g,0.20g,0.10g,3mg,1mg,0.02mg,0.19mg,1mg,4mg,0μg,0.00mg,0.01mg,0.00mg,1.78mg,0μg,
SR5,Refresco de carambola,D,23kcal,94KJ,94.00g,0.10g,0.00g,5.80g,5.60g,0.20g,0.10g,3mg,1mg,0.02mg,0.19mg,1mg,4mg,0μg,0.00mg,0.01mg,0.00mg,1.83mg,0μg,
SR5,Refresco de carambola,E,27kcal,114KJ,92.80g,0.10g,0.00g,7.00g,6.80g,0.20g,0.10g,3mg,1mg,0.02mg,0.21mg,1mg,5mg,0μg,0.00mg,0.01mg,0.00mg,1.87mg,0μg,
SR6,Refresco de cebada,A,43kcal,179KJ,89.00g,0.50g,0.10g,10.30g,10.30g,0.00g,0.10g,6mg,15mg,0.01mg,0.51mg,0mg,0mg,0μg,0.01mg,0.01mg,0.55mg,0.50mg,0μg,
SR6,Refresco de cebada,B,41kcal,174KJ,89.40g,0.30g,0.00g,10.20g,10.20g,0.00g,0.10g,5mg,10mg,0.02mg,0.40mg,0mg,0mg,0μg,0.01mg,0.01mg,0.39mg,0.20mg,0μg,
SR6,Refresco de cebada,C,36kcal,150KJ,90.70g,0.30g,0.10g,8.80g,8.80g,0.00g,0.10g,5mg,8mg,0.01mg,0.34mg,2mg,0mg,0μg,0.00mg,0.01mg,0.31mg,0.16mg,0μg,
SR6,Refresco de cebada,D,34kcal,142KJ,91.30g,0.30g,0.10g,8.20g,8.20g,0.00g,0.10g,4mg,9mg,0.01mg,0.33mg,0mg,0mg,0μg,0.00mg,0.01mg,0.32mg,0.20mg,0μg,
SR6,Refresco de cebada,E,40kcal,169KJ,89.60g,0.30g,0.10g,9.90g,9.90g,0.00g,0.10g,5mg,10mg,0.01mg,0.40mg,0mg,0mg,0μg,0.00mg,0.01mg,0.38mg,0.10mg,0μg,
SR7,Refresco de cebada con linaza,C,31kcal,129KJ,92.30g,0.30g,0.30g,7.00g,6.90g,0.00g,0.10g,4mg,4mg,0.01mg,0.21mg,0mg,0mg,0μg,0.00mg,0.00mg,0.16mg,0.00mg,0μg,
SR7,Refresco de cebada con linaza,E,39kcal,161KJ,90.40g,0.40g,0.40g,8.70g,8.60g,0.00g,0.10g,4mg,6mg,0.01mg,0.29mg,0mg,0mg,0μg,0.00mg,0.01mg,0.23mg,0.00mg,0μg,
SR8,Refresco de durazno,A,22kcal,93KJ,94.60g,0.00g,0.00g,5.40g,5.10g,0.00g,0.00g,2mg,0mg,0.01mg,0.09mg,3mg,0mg,0μg,0.00mg,0.00mg,0.00mg,0.00mg,0μg,
SR8,Refresco de durazno,D,27kcal,111KJ,93.20g,0.00g,0.00g,6.80g,6.80g,0.10g,0.00g,3mg,0mg,0.01mg,0.13mg,0mg,0mg,0μg,0.00mg,0.00mg,0.02mg,0.25mg,0μg,
SR8,Refresco de durazno,E,12kcal,50KJ,97.10g,0.00g,0.00g,2.90g,2.60g,0.00g,0.00g,1mg,0mg,0.00mg,0.05mg,2mg,0mg,0μg,0.00mg,0.00mg,0.00mg,0.00mg,0μg,
SR9,Refresco de linaza,E,29kcal,123KJ,93.20g,0.50g,0.70g,5.50g,5.30g,0.00g,0.10g,3mg,5mg,0.01mg,0.20mg,0mg,0mg,0μg,0.00mg,0.00mg,0.19mg,0.00mg,0μg,
SR10,Refresco de mango,A,47kcal,195KJ,87.80g,0.10g,0.00g,12.00g,11.70g,0.20g,0.10g,7mg,2mg,0.02mg,0.23mg,0mg,0mg,5μg,0.00mg,0.02mg,0.06mg,3.22mg,0μg,
SR10,Refresco de mango,B,0kcal,1KJ,100.00g,0.00g,0.00g,0.00g,0.00g,0.00g,0.00g,0mg,0mg,0.00mg,0.00mg,0mg,0mg,0μg,0.00mg,0.00mg,0.00mg,0.07mg,0μg,
SR10,Refresco de mango,C,25kcal,105KJ,93.60g,0.00g,0.00g,6.40g,6.40g,0.00g,0.00g,3mg,0mg,0.01mg,0.11mg,0mg,0mg,1μg,0.00mg,0.00mg,0.01mg,0.37mg,0μg,
SR10,Refresco de mango,D,32kcal,134KJ,91.70g,0.00g,0.00g,8.20g,8.10g,0.10g,0.10g,4mg,1mg,0.02mg,0.15mg,0mg,0mg,2μg,0.00mg,0.01mg,0.02mg,1.08mg,0μg,
SR10,Refresco de mango,E,33kcal,139KJ,91.30g,0.00g,0.00g,8.60g,8.40g,0.20g,0.10g,5mg,1mg,0.02mg,0.16mg,0mg,0mg,3μg,0.00mg,0.01mg,0.04mg,2.09mg,0μg,
SR11,Refresco de manzana,A,25kcal,105KJ,93.10g,0.00g,0.00g,6.80g,6.40g,0.40g,0.10g,3mg,0mg,0.01mg,0.15mg,0mg,0mg,0μg,0.00mg,0.00mg,0.01mg,0.04mg,0μg,
SR11,Refresco de manzana,B,32kcal,133KJ,91.30g,0.00g,0.00g,8.60g,8.10g,0.40g,0.10g,3mg,0mg,0.01mg,0.20mg,0mg,0mg,0μg,0.00mg,0.00mg,0.01mg,0.05mg,0μg,
SR11,Refresco de manzana,C,27kcal,113KJ,92.60g,0.00g,0.00g,7.30g,6.90g,0.40g,0.10g,3mg,0mg,0.01mg,0.16mg,0mg,0mg,0μg,0.00mg,0.00mg,0.01mg,0.06mg,0μg,
SR11,Refresco de manzana,D,26kcal,110KJ,92.80g,0.00g,0.00g,7.10g,6.80g,0.30g,0.10g,3mg,0mg,0.01mg,0.15mg,0mg,0mg,0μg,0.00mg,0.00mg,0.01mg,0.04mg,0μg,
SR11,Refresco de manzana,E,27kcal,111KJ,92.70g,0.00g,0.00g,7.20g,6.80g,0.40g,0.10g,3mg,0mg,0.01mg,0.15mg,0mg,0mg,0μg,0.00mg,0.00mg,0.01mg,0.05mg,0μg,
SR12,Refresco de maracuyá,A,26kcal,111KJ,93.10g,0.10g,0.00g,6.70g,6.70g,0.00g,0.10g,3mg,2mg,0.01mg,0.23mg,0mg,0mg,5μg,0.00mg,0.01mg,0.11mg,0.82mg,0μg,
SR12,Refresco de maracuyá,B,38kcal,161KJ,90.20g,0.20g,0.10g,9.40g,9.40g,0.00g,0.10g,4mg,2mg,0.02mg,0.33mg,0mg,0mg,8μg,0.00mg,0.01mg,0.15mg,1.44mg,0μg,
SR12,Refresco de maracuyá,C,30kcal,125KJ,92.30g,0.00g,0.00g,7.60g,7.60g,0.00g,0.10g,4mg,2mg,0.01mg,0.25mg,0mg,0mg,5μg,0.00mg,0.01mg,0.10mg,1.11mg,0μg,
SR12,Refresco de maracuyá,D,27kcal,113KJ,93.00g,0.00g,0.00g,6.90g,6.90g,0.00g,0.10g,3mg,1mg,0.01mg,0.23mg,0mg,0mg,5μg,0.00mg,0.01mg,0.09mg,0.85mg,0μg,
SR12,Refresco de maracuyá,E,25kcal,106KJ,93.40g,0.00g,0.00g,6.50g,6.40g,0.00g,0.10g,3mg,1mg,0.01mg,0.22mg,0mg,0mg,5μg,0.00mg,0.01mg,0.10mg,0.85mg,0μg,
SR13,Refresco de membrillo,A,28kcal,117KJ,92.70g,0.00g,0.00g,7.20g,7.00g,0.20g,0.10g,4mg,3mg,0.01mg,0.17mg,0mg,0mg,0μg,0.00mg,0.01mg,0.02mg,1.11mg,0μg,
SR13,Refresco de membrillo,C,23kcal,97KJ,94.00g,0.00g,0.00g,5.90g,5.90g,0.10g,0.10g,3mg,1mg,0.01mg,0.12mg,0mg,0mg,0μg,0.00mg,0.00mg,0.01mg,0.43mg,0μg,
SR13,Refresco de membrillo,E,32kcal,136KJ,91.60g,0.00g,0.00g,8.30g,8.20g,0.10g,0.10g,4mg,1mg,0.02mg,0.17mg,0mg,0mg,0μg,0.00mg,0.01mg,0.01mg,0.51mg,0μg,
SR14,Refresco de naranja,A,20kcal,83KJ,94.90g,0.00g,0.00g,5.00g,4.90g,0.10g,0.10g,3mg,3mg,0.01mg,0.12mg,3mg,0mg,0μg,0.00mg,0.01mg,0.07mg,3.54mg,0μg,
SR14,Refresco de naranja,B,14kcal,59KJ,96.40g,0.00g,0.00g,3.60g,3.60g,0.10g,0.00g,2mg,1mg,0.01mg,0.06mg,0mg,0mg,0μg,0.00mg,0.00mg,0.01mg,2.13mg,0μg,
SR14,Refresco de naranja,C,25kcal,105KJ,93.40g,0.10g,0.10g,6.30g,6.30g,0.00g,0.10g,4mg,2mg,0.01mg,0.20mg,8mg,0mg,0μg,0.00mg,0.01mg,0.16mg,0.84mg,0μg,
SR14,Refresco de naranja,D,26kcal,109KJ,93.10g,0.10g,0.10g,6.60g,6.60g,0.00g,0.10g,4mg,3mg,0.01mg,0.21mg,0mg,0mg,0μg,0.01mg,0.01mg,0.16mg,1.18mg,0μg,
SR14,Refresco de naranja,E,29kcal,123KJ,92.30g,0.10g,0.00g,7.50g,7.30g,0.20g,0.10g,4mg,5mg,0.01mg,0.17mg,0mg,0mg,1μg,0.01mg,0.01mg,0.12mg,6.65mg,0μg,
